Index,company,level,title,location,yearsofexperience,yearsatcompany,tag,otherdetails,cityid,Career Status,highest education,Races,totalyearlycompensation,basesalary,stockgrantvalue,bonus,gender
1,amazon,L6,Software Engineering Manager,"Seattle, WA",12,1,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,287000,160000,-1,-1,Unknown
2,amazon,L5,Software Engineer,"Seattle, WA",10,0,Unknown,Unknown,11527,Entry,Unknown,Unknown,218000,150000,7000,61000,Unknown
3,amazon,L6,Software Engineer,"Seattle, WA",12,12,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,300000,158000,142000,-1,Unknown
4,amazon,L7,Software Engineer,"Seattle, WA",12,12,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,430000,220000,210000,-1,Unknown
5,amazon,L5,Software Engineering Manager,"Seattle, WA",12,7,Unknown,Unknown,11527,Entry,Unknown,Unknown,205000,138000,67000,-1,Unknown
6,amazon,L5,Software Engineer,"Dublin, DN, Ireland",9,2,Unknown,Unknown,4015,Entry,Unknown,Unknown,170000,93000,77000,1000,Unknown
7,amazon,L4,Software Engineer,"Seattle, WA",7,2,Unknown,Unknown,11527,Entry,Unknown,Unknown,161000,-1,-1,-1,Unknown
8,amazon,L5,Software Engineer,"San Francisco, CA",12,1,Unknown,Unknown,7419,Entry,Unknown,Unknown,250000,160000,225000,150000,Unknown
9,amazon,L6,Software Engineering Manager,"Seattle, WA",12,1.25,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,298000,160000,-1,-1,Unknown
10,amazon,L6,Product Manager,"Seattle, WA",9,2,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,170000,123000,37000,1000,Unknown
11,amazon,L6,Product Manager,"Seattle, WA",19,3,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,270000,150000,120000,-1,Unknown
12,amazon,L6,Product Manager,"Seattle, WA",9,2,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,195000,-1,-1,-1,Unknown
13,amazon,L6,Product Manager,"Seattle, WA",6,2,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,270000,160000,110000,-1,Unknown
14,amazon,L4,Software Engineer,"Seattle, WA",0.5,0.5,Unknown,Unknown,11527,Entry,Unknown,Unknown,132000,-1,-1,-1,Unknown
15,amazon,L5,Product Manager,"Seattle, WA",3,3,Unknown,Unknown,11527,Entry,Unknown,Unknown,120000,72000,48000,-1,Unknown
16,amazon,L6,Software Engineering Manager,"Seattle, WA",6,4,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,325000,160000,-1,-1,Unknown
17,amazon,L5,Software Engineer,"Seattle, WA",4,4,Unknown,How do I access results?,11527,Entry,Unknown,Unknown,188000,124000,64000,-1,Unknown
18,amazon,L5,Software Engineer,"Seattle, WA",2,2,Unknown,Unknown,11527,Entry,Unknown,Unknown,172000,132000,40000,-1,Unknown
19,amazon,L4,Software Engineer,"Sunnyvale, CA",1,1,Unknown,"Year 2 bonus, 24k",7472,Entry,Unknown,Unknown,140000,101000,90000,33000,Unknown
20,amazon,L5,Software Engineer,"Seattle, WA",9,1,Unknown,Unknown,11527,Entry,Unknown,Unknown,200000,150000,120000,40000,Unknown
21,amazon,L5,Software Engineer,"Seattle, WA",11,6.5,Unknown,Unknown,11527,Entry,Unknown,Unknown,183000,137500,46000,-1,Unknown
22,amazon,L6,Software Engineer,"Seattle, WA",5,5,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,285000,145000,140000,-1,Unknown
23,amazon,L6,Software Engineering Manager,"Seattle, WA",14,7,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,342000,-1,-1,-1,Unknown
24,amazon,L8,Product Manager,"Seattle, WA",13,2,Unknown,Unknown,11527,Senior,Unknown,Unknown,625000,160000,460000,-1,Unknown
25,amazon,L5,Software Engineer,"Seattle, WA",5,0,Unknown,Unknown,11527,Entry,Unknown,Unknown,196000,147000,120000,-1,Unknown
26,amazon,L4,Software Engineer,"Seattle, WA",0,0,Unknown,Unknown,11527,Entry,Unknown,Unknown,150000,106000,65000,46000,Unknown
27,amazon,L5,Software Engineer,"Seattle, WA",10,0,Unknown,Unknown,11527,Entry,Unknown,Unknown,245000,155000,185000,80000,Unknown
28,amazon,L5,Software Engineer,"Cambridge, EN, United Kingdom",11,3,Unknown,Unknown,4878,Entry,Unknown,Unknown,212000,132000,80000,-1,Unknown
29,amazon,L4,Software Engineer,"Seattle, WA",0,0,Unknown,Unknown,11527,Entry,Unknown,Unknown,156000,112000,3000,41000,Unknown
30,amazon,L4,Software Engineer,"Sunnyvale, CA",1,1,Unknown,Unknown,7472,Entry,Unknown,Unknown,148000,-1,-1,-1,Unknown
31,amazon,L6,Software Engineering Manager,"Seattle, WA",10,4,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,290000,160000,130000,-1,Unknown
32,amazon,L5,Software Engineer,"Seattle, WA",10,5.5,Unknown,Unknown,11527,Entry,Unknown,Unknown,178000,132000,48000,-1,Unknown
33,amazon,L6,Software Engineer,"Bangalore, KA, India",8,8,Unknown,Unknown,4058,Mid-Career,Unknown,Unknown,90000,-1,-1,-1,Unknown
34,amazon,L5,Software Engineer,"San Francisco, CA",10,1,Unknown,Unknown,7419,Entry,Unknown,Unknown,250000,160000,55000,35000,Unknown
35,amazon,L6,Software Engineering Manager,"San Francisco, CA",15,2,Unknown,Unknown,7419,Mid-Career,Unknown,Unknown,500000,170000,110000,220000,Unknown
36,amazon,L6,Software Engineer,"Seattle, WA",12,4,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,295000,160000,135000,-1,Unknown
37,amazon,L6,Software Engineering Manager,"Sunnyvale, CA",11,5,Unknown,Unknown,7472,Mid-Career,Unknown,Unknown,500000,183000,317000,-1,Unknown
38,amazon,L4,Software Engineer,"Seattle, WA",1,0,Unknown,Unknown,11527,Entry,Unknown,Unknown,144000,106000,3000,35000,Unknown
39,amazon,L6,Product Manager,"Seattle, WA",6.5,3.5,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,225000,-1,-1,-1,Unknown
40,amazon,L6,Software Engineering Manager,"Seattle, WA",7,7,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,320000,160000,160000,-1,Unknown
41,amazon,L4,Software Engineer,"Seattle, WA",1,0.25,Unknown,Return internship offer,11527,Entry,Unknown,Unknown,145000,106000,3250,35500,Unknown
42,amazon,L4,Software Engineer,"New York, NY",0,0,Unknown,Stock vesting is f**ked up. 75k with 5-10-40-40 and joining is split up as 39k 1st year and 33.5k second year,10182,Entry,Unknown,Unknown,170000,125000,5000,39000,Unknown
43,amazon,L6,Software Engineer,"Sunnyvale, CA",20,5,Unknown,Unknown,7472,Mid-Career,Unknown,Unknown,350000,185000,165000,-1,Unknown
44,amazon,L5,Software Engineer,"Seattle, WA",4,4,Unknown,Unknown,11527,Entry,Unknown,Unknown,230000,131000,100000,-1,Unknown
45,amazon,L6,Product Manager,"Seattle, WA",8,1.5,Unknown,Unknown,11527,Mid-Career,Unknown,Unknown,245000,140000,88000,17000,Unknown
